Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Intermediate,Graduate,No,No,4,4,3,4,4,5,3,3,5,5,3,3,3,4,5,5,5,3,3,3,1,2,2,1,1,1,1,2,2,5,1,1,1,1,1,2,5,3,3,3,3,3,3,1,3,4,5,5,5,5,5,5,5,5,4,2,5,4,5,4,5,4,3,5,5,3,63,35,28,42,54,222
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Private,Distance mode,Arts,Postical science ,First,Literate,Graduate,No,No,4,4,2,3,5,4,4,5,4,4,3,4,5,4,5,5,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2,2,4,5,4,2,4,1,2,5,2,1,5,5,4,4,4,4,4,4,4,4,5,4,1,1,1,1,1,1,1,1,3,4,2,65,61,35,37,26,224
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Private,Distance mode,Diploma in yogic science ,Diploma in yogic science ,First,Literate,Graduate,No,No,4,4,5,2,1,2,3,2,2,3,1,1,2,2,3,4,4,4,4,5,2,1,1,3,1,2,4,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,1,4,4,4,4,4,4,2,2,1,4,2,2,2,4,3,4,2,3,2,2,3,2,2,41,45,24,29,33,172
Between 18 to 25,Female,Urban,Unmarried,General,Antyodaya,University,Government,Distance mode,Bachelor in yoga,I am in graduation ,Sixth,Graduate,Intermediate,No,No,2,4,2,2,3,4,4,3,4,2,1,2,4,2,2,2,4,2,2,2,2,2,4,3,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,43,43,24,12,26,148
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Distance mode,Arts,Science,Second,Literate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,34,22,18,26,134
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Distance mode,Arts,Not Applicable,Sixth,Literate,Intermediate,No,No,4,4,2,2,2,4,2,2,4,3,1,2,3,4,2,2,4,4,2,3,4,2,2,4,1,2,2,2,4,2,2,4,4,2,4,4,2,2,2,2,2,2,2,4,2,2,3,4,4,3,4,4,4,2,4,2,4,4,4,4,2,4,2,4,4,2,43,48,28,30,42,191
Between 18 to 25,Female,Rural,Married,General,Above Poverty Line (APL),University,Private,Distance mode,Yoga ,Not Applicable,Third,Literate,Intermediate,No,No,2,4,4,3,1,4,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,4,4,4,4,1,4,4,4,1,1,4,1,1,4,1,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,31,29,35,15,17,127
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Private,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,21,33,9,13,98
Between 18 to 25,Female,Rural,Married,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,First,Literate,Graduate,No,No,3,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,3,3,2,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,29,29,27,27,37,149
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Distance mode,BA Yoga ,BA yoga ,Third,Graduate,Above Graduation,No,No,2,2,4,3,5,5,4,3,4,3,5,4,4,3,5,2,4,2,3,3,5,3,2,4,3,3,4,2,3,4,3,3,2,4,3,3,4,3,4,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,58,53,35,28,41,215
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Computer Science,Computer Science,First,Literate,Intermediate,No,No,4,5,4,5,4,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,70,68,45,36,52,271
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,First,Intermediate,Intermediate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,68,44,35,52,263
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Computer Science,Computer Science,First,Intermediate,Intermediate,No,No,4,4,5,4,3,4,5,4,5,4,5,5,5,4,4,5,3,5,5,4,5,3,5,4,3,4,5,4,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,4,3,4,4,4,4,4,4,70,71,50,39,54,284
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Private,Regular mode,Computer Science,Not Applicable,First,Graduate,Graduate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,67,44,36,52,263
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Science,Not Applicable,First,Literate,Literate,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,80,82,55,45,65,327
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Science,Computer Science,First,Intermediate,Literate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,51,33,27,39,198
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,First,Intermediate,Intermediate,No,No,4,3,4,5,3,4,5,4,3,3,3,4,4,3,5,4,5,4,4,4,4,4,3,4,3,2,5,5,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,2,3,3,3,3,3,3,3,3,3,61,65,33,28,41,228
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Science,Computer Science,First,Graduate,Graduate,No,No,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,5,4,3,4,3,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60,64,41,36,52,253
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Science,Computer Science,First,Literate,Literate,No,No,3,3,2,4,5,5,4,4,2,2,3,5,5,5,2,5,4,4,4,2,2,2,2,2,5,2,3,2,2,2,2,2,3,5,2,4,2,3,3,2,2,4,5,4,3,3,5,4,2,3,3,4,3,2,2,2,2,3,2,3,2,2,2,2,2,2,59,45,36,30,28,198
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Science,Computer Science,First,Graduate,Graduate,No,No,3,5,4,2,3,2,3,2,3,2,3,3,3,2,2,3,2,4,3,2,3,2,2,2,3,2,3,2,2,3,2,3,3,3,4,4,2,2,1,3,1,1,1,2,3,3,2,2,2,3,3,3,3,3,2,1,2,1,2,1,3,3,1,1,1,1,45,43,24,24,22,158
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Computer Science,Not Applicable,First,Literate,Intermediate,No,No,3,3,5,4,2,1,1,3,3,2,2,3,2,3,3,4,5,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,3,4,2,3,3,2,2,2,1,3,4,3,3,1,3,3,2,2,5,3,2,3,1,1,1,1,1,1,1,1,1,1,1,44,25,29,25,16,139
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Computer Science,Not Applicable,First,Intermediate,Intermediate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,68,44,36,52,264
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Not Applicable,Commerce,First,Graduate,Graduate,No,No,4,4,4,4,3,3,2,4,4,4,3,4,4,3,4,3,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,4,3,2,3,4,4,4,4,4,4,4,3,4,4,57,71,42,33,47,250
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Computer Science,Computer Science,First,Graduate,Graduate,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,11,9,13,66
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Commerce,Commerce,First,Literate,Intermediate,No,No,3,3,3,2,1,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,47,51,33,27,39,197
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Commerce,Not Applicable,First,Graduate,Above Graduation,No,No,4,4,3,3,3,5,5,4,4,5,3,5,5,4,4,5,4,5,4,5,4,5,5,5,3,5,4,5,4,5,5,5,3,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,3,4,5,3,5,3,5,3,3,3,3,5,4,3,5,66,76,52,39,50,283
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Computer Science,Not Applicable,First,Intermediate,Intermediate,No,No,4,2,2,3,1,2,2,2,4,2,2,2,4,2,4,2,3,2,2,4,3,2,2,4,2,2,4,3,2,4,2,4,2,3,4,4,2,2,2,2,2,2,2,3,3,2,2,3,2,4,4,2,3,2,2,2,2,2,2,2,1,2,2,1,1,2,40,47,28,25,23,163
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Not Applicable,Commerce,First,Intermediate,Intermediate,No,No,4,3,3,4,3,3,4,3,4,5,4,4,4,3,4,3,4,4,4,4,4,3,5,4,3,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,5,3,5,4,4,4,5,4,3,4,4,5,3,4,5,4,3,5,4,3,4,3,4,3,58,65,40,37,50,250
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Computer Science,Not Applicable,First,Graduate,Graduate,No,No,1,1,2,4,2,2,4,2,4,5,2,4,2,4,4,4,5,3,2,2,4,1,4,1,1,1,5,1,1,1,3,2,2,2,2,3,1,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3,3,3,3,3,3,3,3,47,39,18,27,31,162
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Computer Science,Computer Science,First,Literate,Intermediate,No,No,4,2,2,2,3,4,3,3,4,2,2,1,2,2,3,2,4,2,1,2,4,2,5,5,2,4,2,2,3,4,3,1,1,4,2,3,3,2,2,2,2,2,2,4,4,4,4,4,4,2,4,3,4,2,2,4,2,4,2,2,2,2,2,2,2,2,41,47,28,33,30,179
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Computer Science,Not Applicable,First,Intermediate,Graduate,No,No,4,3,3,2,4,4,4,4,2,4,3,4,4,3,4,4,3,4,4,4,3,4,4,2,4,2,1,1,1,1,1,1,2,4,4,3,3,4,4,4,4,4,4,3,2,4,3,4,4,2,2,2,1,3,2,2,2,4,3,2,5,4,4,4,5,4,56,42,41,24,44,207
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Commerce,Not Applicable,First,Literate,Intermediate,No,No,3,2,2,4,2,3,4,2,3,4,5,4,2,4,4,4,4,4,2,4,5,2,3,4,2,2,5,2,4,2,4,4,2,2,2,4,2,4,2,4,3,2,3,2,3,2,2,2,2,3,4,2,2,4,5,4,4,4,4,4,3,2,4,2,3,2,52,55,30,22,45,204
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Not Applicable,Not Applicable,First,Literate,Literate,No,No,2,2,2,2,1,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,4,2,3,2,2,2,3,3,2,3,3,4,3,4,3,3,2,2,2,2,3,3,3,3,2,3,4,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,34,41,31,24,28,158
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,First,Literate,Intermediate,No,No,4,4,4,5,4,2,5,3,2,5,3,4,5,4,4,4,4,4,3,4,5,5,5,5,4,4,4,4,5,5,4,4,4,5,4,5,4,4,5,4,5,4,5,5,5,4,4,4,4,5,5,5,5,4,3,3,4,5,4,5,4,4,5,4,5,5,62,73,50,41,55,281
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Third,Above Graduation,Above Graduation,No,No,2,1,1,1,1,5,1,2,1,4,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,5,4,1,1,4,1,1,1,2,4,1,1,1,1,1,1,1,1,4,5,2,2,5,5,1,1,1,5,1,2,1,1,1,3,1,1,1,1,1,1,1,25,33,18,27,16,119
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Above Graduation,Above Graduation,No,No,2,1,4,1,4,3,2,1,2,2,1,1,2,1,2,2,5,2,3,4,2,1,2,2,2,3,3,1,2,2,1,2,1,3,3,2,4,3,2,3,1,2,2,2,2,5,1,2,5,2,1,1,2,5,3,5,1,5,1,3,2,2,5,2,1,3,31,38,27,21,38,155
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,5,5,4,5,4,5,4,5,5,5,4,4,5,4,5,5,5,5,5,3,2,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,4,3,5,5,3,5,5,5,5,5,2,4,3,3,3,3,3,3,3,5,4,5,5,4,4,2,5,4,2,74,77,49,33,49,282
